+---------------------+------------------------------------------+-------------------------------------------------+-----+-------------------------+--------+---------------+
| Mod name            | Registry name                            | Potion Name                                     |  ID | Liquid color            | Is bad | Is beneficial |
| Nutrition           | nutrition:nourished                      | potion.nutrition:nourished                      |  42 | 0x00000000 (         0) |  false |         false |
| Nutrition           | nutrition:toughness                      | potion.nutrition:toughness                      |  41 | 0x00000000 (         0) |  false |          true |
| Potion Core         | potioncore:archery                       | effect.archery                                  |  82 | 0x00995500 (  10048768) |  false |          true |
| Potion Core         | potioncore:broken_armor                  | effect.broken_armor                             |  75 | 0x00A17F7A (  10583930) |   true |         false |
| Potion Core         | potioncore:climb                         | effect.climb                                    |  58 | 0x00CC5500 (  13391104) |  false |          true |
| Potion Core         | potioncore:curse                         | effect.curse                                    |  84 | 0x00000000 (         0) |   true |         false |
| Potion Core         | potioncore:diamond_skin                  | effect.diamond_skin                             |  49 | 0x002BD8F0 (   2873584) |  false |          true |
| Potion Core         | potioncore:dispel                        | effect.dispel                                   |  71 | 0x00990099 (  10027161) |   true |         false |
| Potion Core         | potioncore:drown                         | effect.drown                                    |  55 | 0x0000FFFF (     65535) |   true |         false |
| Potion Core         | potioncore:explode                       | effect.explode                                  |  62 | 0x00333333 (   3355443) |   true |         false |
| Potion Core         | potioncore:iron_skin                     | effect.iron_skin                                |  47 | 0x00C7C7C7 (  13092807) |  false |          true |
| Potion Core         | potioncore:klutz                         | effect.klutz                                    |  73 | 0x00999933 (  10066227) |   true |         false |
| Potion Core         | potioncore:launch                        | effect.launch                                   |  70 | 0x0000FF00 (     65280) |   true |         false |
| Potion Core         | potioncore:lightning                     | effect.lightning                                |  65 | 0x00FFFF00 (  16776960) |   true |         false |
| Potion Core         | potioncore:potion_sickness               | effect.potion_sickness                          | 102 | 0x00FF00FF (  16711935) |   true |         false |
| Potion Core         | potioncore:purity                        | effect.purity                                   |  79 | 0x00FFFFFF (  16777215) |  false |          true |
| Potion Core         | potioncore:recoil                        | effect.recoil                                   |  51 | 0x00008822 (     34850) |  false |          true |
| Potion Core         | potioncore:revival                       | effect.revival                                  |  72 | 0x00FF0000 (  16711680) |  false |          true |
| Potion Core         | potioncore:rust                          | effect.rust                                     |  60 | 0x00773300 (   7811840) |   true |         false |
| Potion Core         | potioncore:slow_fall                     | effect.slow_fall                                |  81 | 0x00FFFFCC (  16777164) |  false |          true |
| Potion Core         | potioncore:step_up                       | effect.step_up                                  |  54 | 0x0033CC33 (   3394611) |  false |          true |
| Potion Core         | potioncore:teleport                      | effect.teleport                                 |  50 | 0x0000CC99 (     52377) |   true |         false |
| Potion Core         | potioncore:teleport_surface              | effect.teleport_surface                         |  77 | 0x0000FF99 (     65433) |  false |          true |
| Potion Core         | potioncore:vulnerable                    | effect.vulnerable                               |  61 | 0x00557700 (   5601024) |   true |         false |
| Potion Core         | potioncore:weight                        | effect.weight                                   |  69 | 0x00555555 (   5592405) |   true |         false |
| Quark               | quark:black                              | quark.potion.black.name                         |  45 | 0x00303030 (   3158064) |   true |         false |
| Quark               | quark:blue                               | quark.potion.blue.name                          |  48 | 0x000000FF (       255) |   true |         false |
| Quark               | quark:curse                              | quark.potion.curse.name                         |  46 | 0x00000000 (         0) |   true |         false |
| Quark               | quark:danger_sight                       | quark.potion.danger_sight.name                  |  56 | 0x0008C8E3 (    575715) |  false |          true |
| Quark               | quark:resilience                         | quark.potion.resilience.name                    |  52 | 0x005B1A04 (   5970436) |  false |         false |
| Quark               | quark:white                              | quark.potion.white.name                         |  53 | 0x00CCCCCC (  13421772) |   true |         false |
| Scaling Health      | scalinghealth:bandaged                   | effect.scalinghealth.bandaged                   |  57 | 0x00F7DCAD (  16243885) |  false |          true |
| Simply Tea          | simplytea:caffeinated                    | simplytea.effect.caffeinated                    | 111 | 0x0066300E (   6696974) |  false |          true |
| Simply Tea          | simplytea:enderfalling                   | simplytea.effect.enderfalling                   | 122 | 0x004E2043 (   5120067) |  false |          true |
| Simply Tea          | simplytea:restful                        | simplytea.effect.restful                        | 106 | 0x00AD601A (  11362330) |  false |          true |
| Too Many Clerics    | tmclerics:amnesia.effect                 |                                                 |  37 | 0x0000AA00 (     43520) |   true |         false |
| Tough As Nails      | toughasnails:cold_resistance             | potion.cold_resistance                          |  32 | 0x0077A9FF (   7842303) |  false |          true |
| Tough As Nails      | toughasnails:heat_resistance             | potion.heat_resistance                          |  35 | 0x00E54720 (  15025952) |  false |          true |
| Tough As Nails      | toughasnails:hydration                   | potion.hydration                                |  36 | 0x001B5FD3 (   1794003) |  false |          true |
| Tough As Nails      | toughasnails:hyperthermia                | potion.hyperthermia                             |  33 | 0x00FFA300 (  16753408) |   true |         false |
| Tough As Nails      | toughasnails:hypothermia                 | potion.hypothermia                              |  34 | 0x00A8CFFF (  11063295) |   true |         false |
| Tough As Nails      | toughasnails:thirst                      | potion.thirst                                   |  31 | 0x0061D51A (   6411546) |   true |         false |
| Unique Enchantments | uniquee:pestilences_odium                | potion.uniquee.uniquepestilences_odium          |  63 | 0x00352A27 (   3484199) |   true |         false |
+---------------------+------------------------------------------+-------------------------------------------------+-----+-------------------------+--------+---------------+
| Mod name            | Registry name                            | Potion Name                                     |  ID | Liquid color            | Is bad | Is beneficial |
+---------------------+------------------------------------------+-------------------------------------------------+-----+-------------------------+--------+---------------+
