+-----------------------------+-----------------------------------------------+----------+---------------+
| NOTE: The Hardness and Resistance values are the raw base values in the fields                         |
| of the Block class in question. The actual final values may be different                               |
| for different states of the block, or they may depend on a TileEntity etc.                             |
+-----------------------------+-----------------------------------------------+----------+---------------+
| Mod name                    | Registry name                                 | Hardness |    Resistance |
| Better Nether               | betternether:stalagnate_planks_plate          |     2.00 |         10.00 |
| Better Nether               | betternether:stalagnate_planks_slab_double    |     2.00 |         10.00 |
| Better Nether               | betternether:stalagnate_planks_slab_half      |     2.00 |         10.00 |
| Better Nether               | betternether:stalagnate_planks_stairs         |     2.00 |         10.00 |
| Better Nether               | betternether:stalagnate_seed                  |     0.00 |          0.00 |
| Better Nether               | betternether:stalagnate_seed_bottom           |     0.00 |          0.00 |
| Better Nether               | betternether:stalagnate_stem                  |     0.00 |          0.00 |
| Better Nether               | betternether:stalagnate_top                   |     2.00 |          6.00 |
| Better Nether               | betternether:wart_seed                        |     1.00 |          5.00 |
| Better With Mods            | betterwithmods:aesthetic                      |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:anchor                         |     2.00 |         10.00 |
| Better With Mods            | betterwithmods:bamboo_chime                   |     2.00 |         10.00 |
| Better With Mods            | betterwithmods:bellows                        |     2.00 |         10.00 |
| Better With Mods            | betterwithmods:block_dispenser                |     3.50 |         17.50 |
| Better With Mods            | betterwithmods:blood_leaves                   |     0.20 |          1.00 |
| Better With Mods            | betterwithmods:blood_log                      |     2.00 |         10.00 |
| Better With Mods            | betterwithmods:blood_sapling                  |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:booster                        |     0.70 |          3.50 |
| Better With Mods            | betterwithmods:bucket                         |     5.00 |         30.00 |
| Better With Mods            | betterwithmods:buddy_block                    |     3.50 |         17.50 |
| Better With Mods            | betterwithmods:candle                         |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:candle_holder                  |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:cobblestone                    |     2.00 |         15.00 |
| Better With Mods            | betterwithmods:companion_cube                 |     0.50 |          2.50 |
| Better With Mods            | betterwithmods:cooking_pot                    |     3.50 |         17.50 |
| Better With Mods            | betterwithmods:corner_iron                    |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:corner_rock                    |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:corner_wood                    |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:creative_generator             |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:detector                       |     3.50 |         17.50 |
| Better With Mods            | betterwithmods:detector_rail_steel            |     0.70 |          3.50 |
| Better With Mods            | betterwithmods:detector_rail_stone            |     0.70 |          3.50 |
| Better With Mods            | betterwithmods:dirt_slab                      |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:fertile_farmland               |     0.60 |          3.00 |
| Better With Mods            | betterwithmods:grate                          |     2.00 |         10.00 |
| Better With Mods            | betterwithmods:hand_crank                     |     0.50 |          2.50 |
| Better With Mods            | betterwithmods:hemp                           |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:hibachi                        |     3.50 |         17.50 |
| Better With Mods            | betterwithmods:infernal_enchanter             |     5.00 |       6000.00 |
| Better With Mods            | betterwithmods:invisible_light                |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:iron_wall                      |     5.00 |         30.00 |
| Better With Mods            | betterwithmods:kiln                           |     2.00 |         30.00 |
| Better With Mods            | betterwithmods:lens                           |     3.50 |         17.50 |
| Better With Mods            | betterwithmods:light                          |     2.00 |         10.00 |
| Better With Mods            | betterwithmods:long_friend                    |     0.50 |          2.50 |
| Better With Mods            | betterwithmods:metal_chime                    |     2.00 |         10.00 |
| Better With Mods            | betterwithmods:mining_charge                  |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:moulding_iron                  |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:moulding_rock                  |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:moulding_wood                  |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:nether_clay                    |     0.60 |          3.00 |
| Better With Mods            | betterwithmods:nether_growth                  |     0.50 |          0.30 |
| Better With Mods            | betterwithmods:planter                        |     1.00 |          5.00 |
| Better With Mods            | betterwithmods:platform                       |     2.00 |         10.00 |
| Better With Mods            | betterwithmods:raw_pastry                     |     0.10 |          0.50 |
| Better With Mods            | betterwithmods:rope                           |     0.50 |          2.50 |
| Better With Mods            | betterwithmods:sapling_crop_acacia            |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:sapling_crop_birch             |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:sapling_crop_dark_oak          |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:sapling_crop_jungle            |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:sapling_crop_oak               |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:sapling_crop_spruce            |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:saw                            |     2.00 |         10.00 |
| Better With Mods            | betterwithmods:screw_pump                     |     3.50 |         17.50 |
| Better With Mods            | betterwithmods:shaft                          |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:siding_iron                    |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:siding_rock                    |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:siding_wood                    |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:single_machine                 |     3.50 |         17.50 |
| Better With Mods            | betterwithmods:slats                          |     2.00 |         10.00 |
| Better With Mods            | betterwithmods:stake                          |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:stake_string                   |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:steel_anvil                    |     5.00 |       6000.00 |
| Better With Mods            | betterwithmods:steel_axle                     |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:steel_block                    |   100.00 |      12000.00 |
| Better With Mods            | betterwithmods:steel_broken_gearbox           |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:steel_gearbox                  |     2.00 |         10.00 |
| Better With Mods            | betterwithmods:steel_pressure_plate           |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:steel_saw                      |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:stoked_flame                   |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:stone_corner                   |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:stone_moulding                 |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:stone_siding                   |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:temporary_water                |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:unfired_pottery                |     0.50 |          2.50 |
| Better With Mods            | betterwithmods:urn                            |     2.00 |         10.00 |
| Better With Mods            | betterwithmods:vase                           |     2.00 |         10.00 |
| Better With Mods            | betterwithmods:vine_trap                      |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:waterwheel                     |     2.00 |         10.00 |
| Better With Mods            | betterwithmods:wicker                         |     2.00 |         10.00 |
| Better With Mods            | betterwithmods:windmill                       |     2.00 |         10.00 |
| Better With Mods            | betterwithmods:wood_bench                     |     3.50 |         17.50 |
| Better With Mods            | betterwithmods:wood_corner                    |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:wood_moulding                  |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:wood_siding                    |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:wood_table                     |     3.50 |         17.50 |
| Better With Mods            | betterwithmods:wooden_axle                    |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:wooden_broken_gearbox          |     0.00 |          0.00 |
| Better With Mods            | betterwithmods:wooden_gearbox                 |     2.00 |         10.00 |
| Canny Composter             | composter:compost_bin                         |     1.50 |         15.00 |
| CoroUtil Library            | coroutil:blank                                |     0.00 |          0.00 |
| CoroUtil Library            | coroutil:repairing_block                      |     1.50 |          7.50 |
| Crafting Station            | craftingstation:crafting_station              |     2.00 |         45.00 |
| Deadly Monsters             | dmonsters:barbedwire                          |     1.00 |          3.00 |
| Deadly Monsters             | dmonsters:christmas_tree                      |     2.00 |        150.00 |
| Deadly Monsters             | dmonsters:dump                                |     1.00 |          3.00 |
| Deadly Monsters             | dmonsters:meshfence                           |     5.00 |         15.00 |
| Deadly Monsters             | dmonsters:meshfencepole                       |     5.00 |         15.00 |
| Deadly Monsters             | dmonsters:present_box                         |     1.00 |        150.00 |
| Deadly Monsters             | dmonsters:presentblock                        |     3.00 |        150.00 |
| Deadly Monsters             | dmonsters:souleye                             |     3.00 |          9.00 |
| Deadly Monsters             | dmonsters:strengthenedcobblestone             |    10.00 |         75.00 |
| Deadly Monsters             | dmonsters:strengthenedstone                   |    10.00 |         75.00 |
| Embers Rekindled            | embers:advanced_edge                          |     1.00 |          5.00 |
| Embers Rekindled            | embers:alchemical_redstone                    |     0.00 |          0.00 |
| Embers Rekindled            | embers:alchemy_pedestal                       |     1.60 |          8.00 |
| Embers Rekindled            | embers:alchemy_tablet                         |     1.60 |          8.00 |
| Embers Rekindled            | embers:aluminum                               |     0.00 |          0.00 |
| Embers Rekindled            | embers:archaic_bricks                         |     1.60 |          8.00 |
| Embers Rekindled            | embers:archaic_edge                           |     1.60 |          8.00 |
| Embers Rekindled            | embers:archaic_light                          |     1.60 |          8.00 |
| Embers Rekindled            | embers:archaic_mech_edge                      |     1.00 |          5.00 |
| Embers Rekindled            | embers:archaic_tile                           |     1.60 |          8.00 |
| Embers Rekindled            | embers:ashen_brick                            |     1.60 |          8.00 |
| Embers Rekindled            | embers:ashen_brick_slab                       |     1.60 |          8.00 |
| Embers Rekindled            | embers:ashen_brick_slab_double                |     1.60 |          8.00 |
| Embers Rekindled            | embers:ashen_stone                            |     1.60 |          8.00 |
| Embers Rekindled            | embers:ashen_stone_slab                       |     1.60 |          8.00 |
| Embers Rekindled            | embers:ashen_stone_slab_double                |     1.60 |          8.00 |
| Embers Rekindled            | embers:ashen_tile                             |     1.60 |          8.00 |
| Embers Rekindled            | embers:ashen_tile_slab                        |     1.60 |          8.00 |
| Embers Rekindled            | embers:ashen_tile_slab_double                 |     1.60 |          8.00 |
| Embers Rekindled            | embers:auto_hammer                            |     1.60 |          8.00 |
| Embers Rekindled            | embers:beam_cannon                            |     1.60 |          8.00 |
| Embers Rekindled            | embers:beam_splitter                          |     1.00 |          5.00 |
| Embers Rekindled            | embers:bin                                    |     1.00 |          5.00 |
| Embers Rekindled            | embers:block_aluminum                         |     1.60 |          8.00 |
| Embers Rekindled            | embers:block_bronze                           |     2.30 |         11.50 |
| Embers Rekindled            | embers:block_caminite_brick                   |     1.60 |          8.00 |
| Embers Rekindled            | embers:block_caminite_brick_slab              |     1.60 |          8.00 |
| Embers Rekindled            | embers:block_caminite_brick_slab_double       |     1.60 |          8.00 |
| Embers Rekindled            | embers:block_copper                           |     1.40 |          7.00 |
| Embers Rekindled            | embers:block_dawnstone                        |     1.60 |          8.00 |
| Embers Rekindled            | embers:block_electrum                         |     1.60 |          8.00 |
| Embers Rekindled            | embers:block_furnace                          |     1.60 |          8.00 |
| Embers Rekindled            | embers:block_lantern                          |     1.00 |          5.00 |
| Embers Rekindled            | embers:block_lead                             |     1.60 |          8.00 |
| Embers Rekindled            | embers:block_nickel                           |     2.20 |         11.00 |
| Embers Rekindled            | embers:block_silver                           |     1.60 |          8.00 |
| Embers Rekindled            | embers:block_tank                             |     1.60 |          8.00 |
| Embers Rekindled            | embers:block_tin                              |     1.30 |          6.50 |
| Embers Rekindled            | embers:boiler                                 |     1.60 |          8.00 |
| Embers Rekindled            | embers:breaker                                |     1.60 |          8.00 |
| Embers Rekindled            | embers:bronze                                 |     0.00 |          0.00 |
| Embers Rekindled            | embers:caminite_lever                         |     0.75 |          3.75 |
| Embers Rekindled            | embers:catalytic_plug                         |     1.60 |          8.00 |
| Embers Rekindled            | embers:catalyzer                              |     1.60 |          8.00 |
| Embers Rekindled            | embers:charger                                |     1.00 |          5.00 |
| Embers Rekindled            | embers:cinder_plinth                          |     1.60 |          8.00 |
| Embers Rekindled            | embers:clockwork_attenuator                   |     1.60 |          8.00 |
| Embers Rekindled            | embers:combustor                              |     1.60 |          8.00 |
| Embers Rekindled            | embers:copper                                 |     0.00 |          0.00 |
| Embers Rekindled            | embers:copper_cell                            |     1.40 |          7.00 |
| Embers Rekindled            | embers:creative_ember_source                  |     1.00 |          5.00 |
| Embers Rekindled            | embers:crystal_cell                           |     1.00 |          5.00 |
| Embers Rekindled            | embers:dawnstone                              |     0.00 |          0.00 |
| Embers Rekindled            | embers:dawnstone_anvil                        |     1.60 |          8.00 |
| Embers Rekindled            | embers:electrum                               |     0.00 |          0.00 |
| Embers Rekindled            | embers:ember_activator                        |     1.60 |          8.00 |
| Embers Rekindled            | embers:ember_bore                             |     1.00 |          5.00 |
| Embers Rekindled            | embers:ember_emitter                          |     0.60 |          3.00 |
| Embers Rekindled            | embers:ember_funnel                           |     1.60 |          8.00 |
| Embers Rekindled            | embers:ember_gauge                            |     1.00 |          5.00 |
| Embers Rekindled            | embers:ember_injector                         |     1.60 |          8.00 |
| Embers Rekindled            | embers:ember_pulser                           |     1.60 |          8.00 |
| Embers Rekindled            | embers:ember_receiver                         |     0.60 |          3.00 |
| Embers Rekindled            | embers:ember_relay                            |     1.00 |          5.00 |
| Embers Rekindled            | embers:ember_siphon                           |     1.60 |          8.00 |
| Embers Rekindled            | embers:explosion_pedestal                     |     1.60 |          8.00 |
| Embers Rekindled            | embers:field_chart                            |     1.60 |          8.00 |
| Embers Rekindled            | embers:fluid_gauge                            |     1.00 |          5.00 |
| Embers Rekindled            | embers:fluid_transfer                         |     1.60 |          8.00 |
| Embers Rekindled            | embers:geo_separator                          |     1.60 |          8.00 |
| Embers Rekindled            | embers:glow                                   |     0.00 |          0.00 |
| Embers Rekindled            | embers:gold                                   |     0.00 |          0.00 |
| Embers Rekindled            | embers:heat_coil                              |     1.00 |          5.00 |
| Embers Rekindled            | embers:inferno_forge                          |     1.00 |          5.00 |
| Embers Rekindled            | embers:inferno_forge_edge                     |     1.00 |          5.00 |
| Embers Rekindled            | embers:iron                                   |     0.00 |          0.00 |
| Embers Rekindled            | embers:item_dropper                           |     1.00 |          5.00 |
| Embers Rekindled            | embers:item_pipe                              |     1.00 |          5.00 |
| Embers Rekindled            | embers:item_pump                              |     1.00 |          5.00 |
| Embers Rekindled            | embers:item_transfer                          |     1.60 |          8.00 |
| Embers Rekindled            | embers:large_tank                             |     1.00 |          5.00 |
| Embers Rekindled            | embers:lead                                   |     0.00 |          0.00 |
| Embers Rekindled            | embers:mech_accessor                          |     1.00 |          5.00 |
| Embers Rekindled            | embers:mech_core                              |     1.00 |          5.00 |
| Embers Rekindled            | embers:mech_edge                              |     1.00 |          5.00 |
| Embers Rekindled            | embers:mechanical_pump                        |     1.00 |          5.00 |
| Embers Rekindled            | embers:mini_boiler                            |     1.60 |          8.00 |
| Embers Rekindled            | embers:mixer                                  |     1.00 |          5.00 |
| Embers Rekindled            | embers:nickel                                 |     0.00 |          0.00 |
| Embers Rekindled            | embers:ore_aluminum                           |     1.60 |          8.00 |
| Embers Rekindled            | embers:ore_copper                             |     1.80 |          9.00 |
| Embers Rekindled            | embers:ore_lead                               |     2.50 |         12.50 |
| Embers Rekindled            | embers:ore_nickel                             |     2.20 |         11.00 |
| Embers Rekindled            | embers:ore_quartz                             |     1.90 |          9.50 |
| Embers Rekindled            | embers:ore_silver                             |     2.50 |         12.50 |
| Embers Rekindled            | embers:ore_tin                                |     1.30 |          6.50 |
| Embers Rekindled            | embers:pipe                                   |     1.00 |          5.00 |
| Embers Rekindled            | embers:pump                                   |     1.00 |          5.00 |
| Embers Rekindled            | embers:reactor                                |     1.60 |          8.00 |
| Embers Rekindled            | embers:sealed_planks                          |     2.50 |         12.50 |
| Embers Rekindled            | embers:seed                                   |     1.60 |          8.00 |
| Embers Rekindled            | embers:seed_aluminum                          |     1.60 |          8.00 |
| Embers Rekindled            | embers:seed_copper                            |     1.60 |          8.00 |
| Embers Rekindled            | embers:seed_dawnstone                         |     1.60 |          8.00 |
| Embers Rekindled            | embers:seed_gold                              |     1.60 |          8.00 |
| Embers Rekindled            | embers:seed_iron                              |     1.60 |          8.00 |
| Embers Rekindled            | embers:seed_lead                              |     1.60 |          8.00 |
| Embers Rekindled            | embers:seed_nickel                            |     1.60 |          8.00 |
| Embers Rekindled            | embers:seed_silver                            |     1.60 |          8.00 |
| Embers Rekindled            | embers:seed_tin                               |     1.60 |          8.00 |
| Embers Rekindled            | embers:silver                                 |     0.00 |          0.00 |
| Embers Rekindled            | embers:stairs_ashen_brick                     |     1.60 |          8.00 |
| Embers Rekindled            | embers:stairs_ashen_stone                     |     1.60 |          8.00 |
| Embers Rekindled            | embers:stairs_ashen_tile                      |     1.60 |          8.00 |
| Embers Rekindled            | embers:stairs_caminite_brick                  |     1.60 |          8.00 |
| Embers Rekindled            | embers:stamper                                |     1.00 |          5.00 |
| Embers Rekindled            | embers:stamper_base                           |     1.00 |          5.00 |
| Embers Rekindled            | embers:stirling                               |     1.60 |          8.00 |
| Embers Rekindled            | embers:stone_edge                             |     1.00 |          5.00 |
| Embers Rekindled            | embers:stone_valve                            |     1.00 |          5.00 |
| Embers Rekindled            | embers:structure_marker                       |     1.60 |          8.00 |
| Embers Rekindled            | embers:tin                                    |     0.00 |          0.00 |
| Embers Rekindled            | embers:vacuum                                 |     1.60 |          8.00 |
| Embers Rekindled            | embers:wall_ashen_brick                       |     1.60 |          8.00 |
| Embers Rekindled            | embers:wall_ashen_stone                       |     1.60 |          8.00 |
| Embers Rekindled            | embers:wall_ashen_tile                        |     1.60 |          8.00 |
| Embers Rekindled            | embers:wall_caminite_brick                    |     1.60 |          8.00 |
| Embers Rekindled            | embers:wrapped_sealed_planks                  |     3.10 |         15.50 |
| Enchanting Plus             | eplus:advanced_table                          |     5.00 |       6000.00 |
| Enchanting Plus             | eplus:decorative_book                         |     1.50 |          7.50 |
| Extra Alchemy               | extraalchemy:encasing_ice                     |     0.50 |          2.50 |
| Fish's Undead Rising        | mod_lavacow:glowshroom                        |     0.00 |          0.00 |
| Fish's Undead Rising        | mod_lavacow:pileofsludge                      |     0.00 |          0.00 |
| Food Funk                   | foodfunk:esky                                 |     3.00 |         15.00 |
| Food Funk                   | foodfunk:freezer                              |     3.00 |         15.00 |
| Food Funk                   | foodfunk:icebox                               |     3.00 |         15.00 |
| Food Funk                   | foodfunk:larder                               |     2.00 |         10.00 |
| Minecraft                   | minecraft:acacia_door                         |     1.50 |         15.00 |
| Minecraft                   | minecraft:acacia_fence                        |     1.50 |         15.00 |
| Minecraft                   | minecraft:acacia_fence_gate                   |     1.50 |         15.00 |
| Minecraft                   | minecraft:acacia_stairs                       |     2.00 |         15.00 |
| Minecraft                   | minecraft:activator_rail                      |     0.70 |          3.50 |
| Minecraft                   | minecraft:air                                 |     0.00 |          0.00 |
| Minecraft                   | minecraft:anvil                               |     5.00 |       6000.00 |
| Minecraft                   | minecraft:barrier                             |    -1.00 |   18000004.00 |
| Minecraft                   | minecraft:beacon                              |     3.00 |         15.00 |
| Minecraft                   | minecraft:bed                                 |     0.20 |          1.00 |
| Minecraft                   | minecraft:bedrock                             |    -1.00 |   18000000.00 |
| Minecraft                   | minecraft:beetroots                           |     0.00 |          0.00 |
| Minecraft                   | minecraft:birch_door                          |     1.50 |         15.00 |
| Minecraft                   | minecraft:birch_fence                         |     1.50 |         15.00 |
| Minecraft                   | minecraft:birch_fence_gate                    |     1.50 |         15.00 |
| Minecraft                   | minecraft:birch_stairs                        |     2.00 |         15.00 |
| Minecraft                   | minecraft:black_glazed_terracotta             |     1.40 |          7.00 |
| Minecraft                   | minecraft:black_shulker_box                   |     2.00 |       6000.00 |
| Minecraft                   | minecraft:blue_glazed_terracotta              |     1.40 |          7.00 |
| Minecraft                   | minecraft:blue_shulker_box                    |     2.00 |       6000.00 |
| Minecraft                   | minecraft:bone_block                          |     2.00 |         10.00 |
| Minecraft                   | minecraft:bookshelf                           |     1.50 |          7.50 |
| Minecraft                   | minecraft:brewing_stand                       |     0.50 |          2.50 |
| Minecraft                   | minecraft:brick_block                         |     2.00 |         30.00 |
| Minecraft                   | minecraft:brick_stairs                        |     2.00 |         30.00 |
| Minecraft                   | minecraft:brown_glazed_terracotta             |     1.40 |          7.00 |
